<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<PRICE>,<TOTAL>,,
23.09.2020,10:17:00,112705,115297,108084,114174,8,112565,900520,,
23.09.2020,10:18:00,113601,115026,107931,114031,73,"112647,25","8223249,25",,
23.09.2020,10:19:00,114949,115114,108010,113607,42,112920,4742640,,
23.09.2020,10:20:00,109107,115247,108029,111994,51,"111094,25","5665806,75",,
23.09.2020,10:21:00,113313,115195,108008,108859,61,"111343,75","6791968,75",,
23.09.2020,10:22:00,114732,115289,107908,112231,32,112540,3601280,,
23.09.2020,10:23:00,108174,115160,107933,113226,29,"111123,25","3222574,25",,
23.09.2020,10:24:00,109725,115238,108306,113466,45,"111683,75","5025768,75",,
23.09.2020,10:25:00,112005,115285,108249,108973,7,111128,777896,,
23.09.2020,10:26:00,114890,115149,107958,110386,69,"112095,75","7734606,75",,
23.09.2020,10:27:00,111971,115236,108057,111015,61,"111569,75","6805754,75",,
23.09.2020,10:28:00,114696,115176,107949,113812,97,"112908,25","10952100,25",,
23.09.2020,10:29:00,108135,115261,108135,114637,76,111542,8477192,,
23.09.2020,10:30:00,114713,115161,108052,109481,59,"111851,75","6599253,25",,
23.09.2020,10:31:00,109853,115003,108013,111173,57,"111010,5","6327598,5",,
23.09.2020,10:32:00,114526,114890,107914,109743,37,"111768,25","4135425,25",,
23.09.2020,10:33:00,111308,115253,107931,108835,77,"110831,75","8534044,75",,
23.09.2020,10:34:00,110960,115233,108019,110956,97,111292,10795324,,
23.09.2020,10:35:00,109365,115251,108104,109528,55,110562,6080910,,
23.09.2020,10:36:00,108785,115175,107958,114573,23,"111622,75","2567323,25",,
23.09.2020,10:37:00,114932,114997,108005,109720,19,"111913,5","2126356,5",,
23.09.2020,10:38:00,108893,115239,108182,114520,53,"111708,5","5920550,5",,
23.09.2020,10:39:00,112682,115241,107927,109944,31,"111448,5","3454903,5",,
23.09.2020,10:40:00,110727,114936,108159,110648,39,"111117,5","4333582,5",,
23.09.2020,10:41:00,110178,115298,107948,113509,69,"111733,25","7709594,25",,
23.09.2020,10:42:00,109878,115282,108161,112124,79,"111361,25","8797538,75",,
23.09.2020,10:43:00,109548,115008,108013,114421,43,"111747,5","4805142,5",,
23.09.2020,10:44:00,111330,115286,107913,110280,27,"111202,25","3002460,75",,
23.09.2020,10:45:00,114403,115267,107981,110934,96,"112146,25",10766040,,
23.09.2020,10:46:00,112183,115216,108023,115216,80,"112659,5",9012760,,
23.09.2020,10:47:00,108588,115196,107983,113529,70,111324,7792680,,
23.09.2020,10:48:00,113137,115180,107951,109108,29,111344,3228976,,
23.09.2020,10:49:00,108126,115273,108089,110183,85,"110417,75","9385508,75",,
23.09.2020,10:50:00,108331,115237,108102,115063,56,"111683,25",6254262,,
23.09.2020,10:51:00,111374,115251,107946,114885,78,112364,8764392,,
23.09.2020,10:52:00,109756,115159,107985,113885,93,"111696,25","10387751,25",,
23.09.2020,10:53:00,114445,115200,108345,108862,39,111713,4356807,,
23.09.2020,10:54:00,108094,115284,107985,109843,18,"110301,5",1985427,,
23.09.2020,10:55:00,108356,115279,107908,111557,64,110775,7089600,,
23.09.2020,10:56:00,109141,115187,108332,114749,14,"111852,25","1565931,5",,
23.09.2020,10:57:00,108464,115093,108333,113510,24,111350,2672400,,
23.09.2020,10:58:00,110323,115188,107927,111226,63,111166,7003458,,
23.09.2020,10:59:00,111971,115170,108053,109636,91,"111207,5","10119882,5",,
23.09.2020,11:00:00,108146,115278,108087,112608,74,"111029,75","8216201,5",,
23.09.2020,11:01:00,112866,114961,107986,114526,66,"112584,75","7430593,5",,
23.09.2020,11:02:00,113749,115062,108309,110553,58,"111918,25","6491258,5",,
23.09.2020,11:03:00,110511,115297,107903,110711,7,"111105,5","777738,5",,
23.09.2020,11:04:00,110103,114875,108114,113411,26,"111625,75","2902269,5",,
23.09.2020,11:05:00,113389,115255,108246,111675,26,"112141,25","2915672,5",,
23.09.2020,11:06:00,112253,115215,108268,113623,31,"112339,75","3482532,25",,
23.09.2020,11:07:00,111709,115072,108006,112228,20,"111753,75",2235075,,
23.09.2020,11:08:00,111348,115257,108090,110914,15,"111402,25","1671033,75",,
23.09.2020,11:09:00,109734,114949,108110,110225,89,"110754,5","9857150,5",,
23.09.2020,11:10:00,111592,115221,107941,108386,16,110785,1772560,,
23.09.2020,11:11:00,110858,115182,107984,113982,18,"112001,5",2016027,,
23.09.2020,11:12:00,110481,115273,108024,108443,57,"110555,25","6301649,25",,
23.09.2020,11:13:00,109090,115205,108024,115205,57,111881,6377217,,
23.09.2020,11:14:00,113106,115085,107935,107995,50,"111030,25","5551512,5",,
23.09.2020,11:15:00,111758,115048,108128,108465,43,"110849,75","4766539,25",,
23.09.2020,11:16:00,107983,114901,107970,108796,5,"109912,5","549562,5",,
23.09.2020,11:17:00,108884,115112,107921,112784,86,"111175,25","9561071,5",,
23.09.2020,11:18:00,110023,115242,107968,113198,18,"111607,75","2008939,5",,
23.09.2020,11:19:00,110611,115130,108081,111890,20,111428,2228560,,
23.09.2020,11:20:00,114549,115265,107998,115165,72,"113244,25",8153586,,
23.09.2020,11:21:00,110484,115108,108238,109389,78,"110804,75","8642770,5",,
23.09.2020,11:22:00,111895,115283,108061,113711,44,"112237,5",4938450,,
23.09.2020,11:23:00,114470,115274,108053,110471,3,112067,336201,,
23.09.2020,11:24:00,111534,115295,107908,114054,31,"112197,75","3478130,25",,
23.09.2020,11:25:00,112438,115237,108070,108128,67,"110968,25","7434872,75",,
23.09.2020,11:26:00,112486,115222,108008,109145,39,"111215,25","4337394,75",,
23.09.2020,11:27:00,110413,115279,107939,111421,96,111263,10681248,,
23.09.2020,11:28:00,108108,115200,108108,108745,44,"110040,25",4841771,,
23.09.2020,11:29:00,111129,115017,107929,113606,12,"111920,25",1343043,,
23.09.2020,11:30:00,111110,115033,107950,111286,48,"111344,75",5344548,,
23.09.2020,11:31:00,111618,115224,108052,111296,85,"111547,5","9481537,5",,
23.09.2020,11:32:00,113355,115173,107970,109675,3,"111543,25","334629,75",,
23.09.2020,11:33:00,111279,114432,107977,109208,57,110724,6311268,,
23.09.2020,11:34:00,114248,115123,107995,110387,30,"111938,25","3358147,5",,
23.09.2020,11:35:00,114326,115283,107932,113914,92,"112863,75",10383465,,
23.09.2020,11:36:00,114876,115160,108102,111803,20,"112485,25",2249705,,
23.09.2020,11:37:00,111559,115272,107918,112121,69,"111717,5","7708507,5",,
23.09.2020,11:38:00,112963,115207,107913,112349,11,112108,1233188,,
23.09.2020,11:39:00,108250,115283,107957,108787,50,"110069,25","5503462,5",,
23.09.2020,11:40:00,111809,115283,107938,110904,1,"111483,5","111483,5",,
23.09.2020,11:41:00,109399,115225,107985,112011,38,111155,4223890,,
23.09.2020,11:42:00,108040,115158,107916,114088,66,"111300,5",7345833,,
23.09.2020,11:43:00,109177,115281,107992,111260,64,"110927,5",7099360,,
23.09.2020,11:44:00,108223,114808,107903,108308,49,"109810,5","5380714,5",,
23.09.2020,11:45:00,114678,115220,108084,115220,3,"113300,5","339901,5",,
23.09.2020,11:46:00,112081,115242,107961,109716,48,111250,5340000,,
23.09.2020,11:47:00,112599,115058,108028,114748,73,"112608,25","8220402,25",,
23.09.2020,11:48:00,111977,115202,107996,110916,74,"111522,75","8252683,5",,
23.09.2020,11:49:00,113670,115267,108025,113680,9,"112660,5","1013944,5",,
23.09.2020,11:50:00,112559,115297,107903,112837,67,112149,7513983,,
23.09.2020,11:51:00,110043,115279,107914,113636,14,111718,1564052,,
23.09.2020,11:52:00,113075,115060,108021,115060,35,112804,3948140,,
23.09.2020,11:53:00,108480,115032,107960,112564,4,111009,444036,,
23.09.2020,11:54:00,113654,115239,107938,114276,44,"112776,75",4962177,,
23.09.2020,11:55:00,114201,115291,108225,108720,42,"111609,25","4687588,5",,
23.09.2020,11:56:00,114387,115267,107907,114616,70,"113044,25","7913097,5",,
23.09.2020,11:57:00,107987,115139,107935,111379,6,110610,663660,,
23.09.2020,11:58:00,108390,115277,108016,108040,38,"109930,75","4177368,5",,
23.09.2020,11:59:00,114464,115199,108032,112153,30,112462,3373860,,
23.09.2020,12:00:00,111890,115279,108241,112032,79,"111860,5","8836979,5",,
23.09.2020,12:01:00,111638,115181,107917,115181,34,"112479,25","3824294,5",,
23.09.2020,12:02:00,113903,115172,107925,113377,9,"112594,25","1013348,25",,
23.09.2020,12:03:00,110280,114851,107904,108992,23,"110506,75","2541655,25",,
23.09.2020,12:04:00,113658,115113,108236,113523,85,"112632,5","9573762,5",,
23.09.2020,12:05:00,113246,115195,107998,112695,52,"112283,5",5838742,,
23.09.2020,12:06:00,109841,115245,108377,113037,58,111625,6474250,,
23.09.2020,12:07:00,113359,115291,108058,110706,12,"111853,5",1342242,,
23.09.2020,12:08:00,115188,115188,107935,112647,87,"112739,5","9808336,5",,
23.09.2020,12:09:00,109469,115204,108285,111055,70,"111003,25","7770227,5",,
23.09.2020,12:10:00,114116,115169,107944,109760,30,"111747,25","3352417,5",,
23.09.2020,12:11:00,112840,115058,107950,111873,85,"111930,25","9514071,25",,
23.09.2020,12:12:00,109284,115268,108013,112156,10,"111180,25","1111802,5",,
23.09.2020,12:13:00,113353,115287,107906,111860,93,"112101,5","10425439,5",,
23.09.2020,12:14:00,111176,115238,108272,115149,85,"112458,75","9558993,75",,
23.09.2020,12:15:00,108403,115262,108010,109247,37,"110230,5","4078528,5",,
23.09.2020,12:16:00,113828,115215,107986,114805,62,"112958,5",7003427,,
23.09.2020,12:17:00,113258,115283,108003,113370,51,"112478,5","5736403,5",,
23.09.2020,12:18:00,113575,115290,107966,112215,18,"112261,5",2020707,,
23.09.2020,12:19:00,113695,115180,107971,109357,70,"111550,75","7808552,5",,
23.09.2020,12:20:00,112803,115026,107995,114951,1,"112693,75","112693,75",,
23.09.2020,12:21:00,112313,115274,108045,109767,2,"111349,75","222699,5",,
23.09.2020,12:22:00,113976,115105,107904,113599,18,112646,2027628,,
23.09.2020,12:23:00,111971,115210,107956,114432,10,"112392,25","1123922,5",,
23.09.2020,12:24:00,113961,115221,108057,110204,55,"111860,75","6152341,25",,
23.09.2020,12:25:00,114448,115277,107990,113981,88,112924,9937312,,
23.09.2020,12:26:00,113272,115275,108051,109044,16,"111410,5",1782568,,
23.09.2020,12:27:00,115244,115244,108233,112161,59,"112720,5","6650509,5",,
23.09.2020,12:28:00,112818,114906,107920,110862,62,"111626,5",6920843,,
23.09.2020,12:29:00,110676,115211,107934,112661,96,"111620,5",10715568,,
23.09.2020,12:30:00,108250,115121,107971,108315,13,"109914,25","1428885,25",,
23.09.2020,12:31:00,110614,115288,107949,110591,39,"111110,5","4333309,5",,
23.09.2020,12:32:00,110062,115161,108046,115032,50,"112075,25","5603762,5",,
23.09.2020,12:33:00,114950,115136,107953,111078,59,"112279,25","6624475,75",,
23.09.2020,12:34:00,112710,115268,107984,107984,8,"110986,5",887892,,
23.09.2020,12:35:00,110730,115155,108050,109494,73,"110857,25","8092579,25",,
23.09.2020,12:36:00,111363,115155,108000,112121,58,"111659,75","6476265,5",,
23.09.2020,12:37:00,109329,115222,107936,114255,1,"111685,5","111685,5",,
23.09.2020,12:38:00,114196,115233,107939,113657,33,"112756,25","3720956,25",,
23.09.2020,12:39:00,114208,115298,107946,112990,53,"112610,5","5968356,5",,
23.09.2020,12:40:00,109411,115157,107923,111963,36,"111113,5",4000086,,
23.09.2020,12:41:00,111656,115232,107919,111488,17,"111573,75","1896753,75",,
23.09.2020,12:42:00,111592,115245,108060,109906,6,"111200,75","667204,5",,
23.09.2020,12:43:00,111880,115118,107911,114964,63,"112468,25","7085499,75",,
23.09.2020,12:44:00,115236,115236,107902,114936,32,"113327,5",3626480,,
23.09.2020,12:45:00,114269,115196,108028,114396,53,"112972,25","5987529,25",,
23.09.2020,12:46:00,109998,115230,107940,114182,31,"111837,5","3466962,5",,
23.09.2020,12:47:00,109675,115264,107979,109991,35,"110727,25","3875453,75",,
23.09.2020,12:48:00,112674,115223,108055,113386,10,"112334,5",1123345,,
23.09.2020,12:49:00,115084,115206,108012,113912,93,"113053,5","10513975,5",,
23.09.2020,12:50:00,114998,115229,107914,107986,63,"111531,75","7026500,25",,
23.09.2020,12:51:00,109590,115287,108076,109022,59,"110493,75","6519131,25",,
23.09.2020,12:52:00,114704,115233,108078,114610,62,"113156,25","7015687,5",,
23.09.2020,12:53:00,110208,115032,108178,111786,10,111301,1113010,,
23.09.2020,12:54:00,114958,115223,107967,112371,29,"112629,75","3266262,75",,
23.09.2020,12:55:00,113532,115097,108160,113667,53,112614,5968542,,
23.09.2020,12:56:00,110133,115262,107913,115249,98,"112139,25","10989646,5",,
23.09.2020,12:57:00,113159,115292,108227,115292,49,"112992,5","5536632,5",,
23.09.2020,12:58:00,108558,115206,107909,109387,41,110265,4520865,,
23.09.2020,12:59:00,109642,115202,107949,113037,48,"111457,5",5349960,,
23.09.2020,13:00:00,110178,115246,108002,108443,9,"110467,25","994205,25",,
23.09.2020,13:01:00,112909,115232,107900,111100,81,"111785,25","9054605,25",,
23.09.2020,13:02:00,114711,115053,107984,109442,74,"111797,5",8273015,,
23.09.2020,13:03:00,110093,115152,107935,108507,49,"110421,75","5410665,75",,
23.09.2020,13:04:00,113989,115268,107976,112536,65,"112442,25","7308746,25",,
23.09.2020,13:05:00,110534,115088,107933,111990,30,"111386,25","3341587,5",,
23.09.2020,13:06:00,111338,115247,108305,111909,3,"111699,75","335099,25",,
23.09.2020,13:07:00,108538,115196,108012,112826,15,111143,1667145,,
23.09.2020,13:08:00,109473,115065,108103,114934,88,"111893,75",9846650,,
23.09.2020,13:09:00,109601,115233,108184,113160,71,"111544,5","7919659,5",,
23.09.2020,13:10:00,113023,115230,107962,112322,10,"112134,25","1121342,5",,
23.09.2020,13:11:00,107913,115299,107913,109464,49,"110147,25","5397215,25",,
23.09.2020,13:12:00,113998,115299,107968,111524,14,"112197,25","1570761,5",,
23.09.2020,13:13:00,112264,115205,108242,112885,45,112149,5046705,,
23.09.2020,13:14:00,107953,115204,107953,110032,97,"110285,5","10697693,5",,
23.09.2020,13:15:00,112788,115246,107938,108997,18,"111242,25","2002360,5",,
23.09.2020,13:16:00,114147,115168,107959,112613,3,"112471,75","337415,25",,
23.09.2020,13:17:00,110428,115104,108022,113229,5,"111695,75","558478,75",,
23.09.2020,13:18:00,111013,115270,108133,113692,25,112027,2800675,,
23.09.2020,13:19:00,109770,115282,108052,108054,69,"110289,5","7609975,5",,
23.09.2020,13:20:00,109328,115172,107976,111027,20,"110875,75",2217515,,
23.09.2020,13:21:00,111014,114948,107913,112739,41,"111653,5","4577793,5",,
23.09.2020,13:22:00,108810,115292,108311,114205,71,"111654,5","7927469,5",,
23.09.2020,13:23:00,110505,115068,107949,109425,1,"110736,75","110736,75",,
23.09.2020,13:24:00,110580,115290,108004,110096,57,"110992,5","6326572,5",,
23.09.2020,13:25:00,108422,115294,107910,110332,52,"110489,5",5745454,,
23.09.2020,13:26:00,111820,115260,107979,114381,80,112360,8988800,,
23.09.2020,13:27:00,113866,115244,107925,115049,82,113021,9267722,,
23.09.2020,13:28:00,108096,115096,107927,112633,32,110938,3550016,,
23.09.2020,13:29:00,109802,115033,108160,113594,83,"111647,25","9266721,75",,
23.09.2020,13:30:00,108510,114975,108083,114779,94,"111586,75","10489154,5",,
23.09.2020,13:31:00,110123,115184,108005,111500,62,111203,6894586,,
23.09.2020,13:32:00,110360,115060,108025,109024,36,"110617,25",3982221,,
23.09.2020,13:33:00,111135,115013,107929,108176,61,"110563,25","6744358,25",,
23.09.2020,13:34:00,112581,115232,107928,114347,86,112522,9676892,,
23.09.2020,13:35:00,115172,115208,108092,109983,44,"112113,75",4933005,,
23.09.2020,13:36:00,112035,115261,107921,108651,14,110967,1553538,,
23.09.2020,13:37:00,108818,115232,107971,110510,47,"110632,75","5199739,25",,
23.09.2020,13:38:00,107956,115282,107956,115117,35,"111577,75","3905221,25",,
23.09.2020,13:39:00,109107,115182,108064,110999,1,110838,110838,,
23.09.2020,13:40:00,113542,115044,107902,111179,59,"111916,75","6603088,25",,
23.09.2020,13:41:00,113850,115015,108005,108793,30,"111415,75","3342472,5",,
23.09.2020,13:42:00,110902,115232,107950,108305,55,"110597,25","6082848,75",,
23.09.2020,13:43:00,113830,115164,107932,109124,5,"111512,5","557562,5",,
23.09.2020,13:44:00,111339,115285,108163,111722,27,"111627,25","3013935,75",,
23.09.2020,13:45:00,112920,115273,107991,108825,56,"111252,25",6230126,,
23.09.2020,13:46:00,112123,115293,107921,109820,43,"111289,25","4785437,75",,
23.09.2020,13:47:00,111391,115280,108196,111010,83,"111469,25","9251947,75",,
23.09.2020,13:48:00,113192,115212,108003,114603,75,"112752,5","8456437,5",,
23.09.2020,13:49:00,112458,115282,108105,111239,51,111771,5700321,,
23.09.2020,13:50:00,108423,115082,108112,109435,96,110263,10585248,,
23.09.2020,13:51:00,110968,114915,108138,108861,86,"110720,5",9521963,,
23.09.2020,13:52:00,113384,115252,107902,109244,15,"111445,5","1671682,5",,
23.09.2020,13:53:00,112573,115210,107964,114180,78,"112481,75","8773576,5",,
23.09.2020,13:54:00,109520,115145,108130,108956,27,"110437,75","2981819,25",,
23.09.2020,13:55:00,113418,114909,107935,113771,4,"112508,25",450033,,
23.09.2020,13:56:00,110150,115067,108249,110196,18,"110915,5",1996479,,
23.09.2020,13:57:00,111825,115065,108039,114451,33,112345,3707385,,
23.09.2020,13:58:00,114509,115251,108381,114650,41,"113197,75","4641107,75",,
23.09.2020,13:59:00,109167,115043,108192,110241,35,"110660,75","3873126,25",,
23.09.2020,14:00:00,109673,115228,108030,114258,53,"111797,25","5925254,25",,
23.09.2020,14:02:00,108829,115046,107941,113260,88,111269,9791672,,
23.09.2020,14:03:00,114985,115187,107999,110454,35,"112156,25","3925468,75",,
23.09.2020,14:04:00,111993,115230,107972,110451,18,"111411,5",2005407,,
23.09.2020,14:05:00,109874,114924,107913,111277,55,110997,6104835,,
23.09.2020,14:06:00,108209,115263,107919,108108,77,"109874,75","8460355,75",,
23.09.2020,14:07:00,111192,115194,107916,112527,26,"111707,25","2904388,5",,
23.09.2020,14:08:00,113356,115208,107952,114412,54,112732,6087528,,
23.09.2020,14:09:00,108830,115280,108014,110697,17,"110705,25","1881989,25",,
23.09.2020,14:10:00,110124,115273,107908,112838,22,"111535,75","2453786,5",,
23.09.2020,14:11:00,110414,115111,108364,115111,49,112250,5500250,,
23.09.2020,14:12:00,112469,114919,107956,111555,28,"111724,75",3128293,,
23.09.2020,14:13:00,114296,115202,108020,113681,19,"112799,75","2143195,25",,
23.09.2020,14:14:00,112093,115267,108047,108849,88,111064,9773632,,
23.09.2020,14:15:00,113354,115276,108013,115196,71,"112959,75","8020142,25",,
23.09.2020,14:16:00,111017,115288,108272,108480,2,"110764,25","221528,5",,
23.09.2020,14:17:00,111692,115257,107943,114278,89,"112292,5","9994032,5",,
23.09.2020,14:18:00,108985,115137,107901,110000,19,"110505,75","2099609,25",,
23.09.2020,14:19:00,108504,115138,107922,109349,65,"110228,25","7164836,25",,
23.09.2020,14:20:00,114526,115133,107969,114985,41,"113153,25","4639283,25",,
23.09.2020,14:21:00,109429,115235,108026,112707,11,"111349,25","1224841,75",,
23.09.2020,14:22:00,109522,115244,108392,112291,93,"111362,25","10356689,25",,
23.09.2020,14:24:00,109765,115297,108183,112697,53,"111485,5","5908731,5",,
23.09.2020,14:25:00,110601,114973,108089,109078,38,"110685,25","4206039,5",,
23.09.2020,14:26:00,108227,114885,108227,110389,43,110432,4748576,,
23.09.2020,14:27:00,114986,115244,108251,115244,45,"113431,25","5104406,25",,
23.09.2020,14:28:00,108917,114988,108155,108448,96,110127,10572192,,
23.09.2020,14:29:00,109827,115277,107911,112797,90,111453,10030770,,
23.09.2020,14:30:00,113153,115283,107902,109833,83,"111542,75","9258048,25",,
23.09.2020,14:31:00,112058,115280,107947,108760,51,"111011,25","5661573,75",,
23.09.2020,14:32:00,113043,114928,107958,113666,12,"112398,75",1348785,,
23.09.2020,14:34:00,114068,115292,107932,113213,2,"112626,25","225252,5",,
23.09.2020,14:35:00,110084,115036,108186,108186,7,110373,772611,,
23.09.2020,14:36:00,113316,115278,107960,108972,10,"111381,5",1113815,,
23.09.2020,14:37:00,109389,115085,107906,112413,57,"111198,25","6338300,25",,
23.09.2020,14:38:00,110373,115204,108432,113826,97,"111958,75","10859998,75",,
23.09.2020,14:39:00,110714,114676,107910,114523,33,"111955,75","3694539,75",,
23.09.2020,14:40:00,109213,115299,107916,111873,83,"111075,25","9219245,75",,
23.09.2020,14:41:00,108146,115249,108085,108221,12,"109925,25",1319103,,
23.09.2020,14:42:00,113026,115279,107945,114334,83,112646,9349618,,
23.09.2020,14:43:00,111843,115088,108013,114154,15,"112274,5","1684117,5",,
23.09.2020,14:44:00,111995,115058,108311,110935,90,"111574,75","10041727,5",,
23.09.2020,14:45:00,115195,115208,108109,111673,7,"112546,25","787823,75",,
23.09.2020,14:46:00,113791,115240,107991,109227,35,"111562,25","3904678,75",,
23.09.2020,14:47:00,113148,115014,107981,108614,3,"111189,25","333567,75",,
23.09.2020,14:48:00,114347,115062,108067,110144,66,111905,7385730,,
23.09.2020,14:49:00,115124,115258,108023,113288,91,"112923,25","10276015,75",,
23.09.2020,14:50:00,109163,115297,108059,114162,40,"111670,25",4466810,,
23.09.2020,14:51:00,113604,115212,108500,109855,4,"111792,75",447171,,
23.09.2020,14:52:00,113640,115110,108058,109877,1,"111671,25","111671,25",,
23.09.2020,14:53:00,112882,115196,108270,111019,25,"111841,75","2796043,75",,
23.09.2020,14:54:00,110179,115118,108049,110406,88,110938,9762544,,
23.09.2020,14:55:00,113463,115066,107901,110671,8,"111775,25",894202,,
23.09.2020,14:56:00,114522,115098,108015,114710,6,"113086,25","678517,5",,
23.09.2020,14:57:00,113573,115258,108210,110742,93,"111945,75","10410954,75",,
23.09.2020,14:58:00,112842,115129,108071,109823,68,"111466,25",7579705,,
23.09.2020,14:59:00,109017,115105,108010,113240,20,111343,2226860,,
23.09.2020,15:00:00,114239,115130,107901,109097,8,"111591,75",892734,,
23.09.2020,15:01:00,114402,115141,108019,109870,36,111858,4026888,,
23.09.2020,15:02:00,112615,115227,108034,109208,21,111271,2336691,,
23.09.2020,15:03:00,109167,115048,108007,114467,69,"111672,25","7705385,25",,
23.09.2020,15:04:00,109390,115207,107937,107937,16,"110117,75",1761884,,
23.09.2020,15:05:00,111789,115259,107971,112390,17,"111852,25","1901488,25",,
23.09.2020,15:06:00,114185,115187,107936,113311,32,"112654,75",3604952,,
23.09.2020,15:07:00,108277,115250,108097,112552,68,111044,7550992,,
23.09.2020,15:08:00,111409,115169,108624,114654,15,112464,1686960,,
23.09.2020,15:09:00,113539,115101,108229,109832,84,"111675,25",9380721,,
23.09.2020,15:10:00,114825,115299,107969,114542,28,"113158,75",3168445,,
23.09.2020,15:11:00,110075,115245,108082,115218,41,112155,4598355,,
23.09.2020,15:12:00,114463,115282,108035,111330,3,"112277,5","336832,5",,
23.09.2020,15:13:00,109014,115256,108192,115256,53,"111929,5","5932263,5",,
23.09.2020,15:14:00,109961,115239,107932,107932,95,110266,10475270,,
23.09.2020,15:15:00,109020,115214,107912,115086,92,111808,10286336,,
23.09.2020,15:16:00,113819,115239,108105,114297,48,112865,5417520,,
23.09.2020,15:17:00,112630,115187,107994,110295,36,"111526,5",4014954,,
23.09.2020,15:18:00,113795,115247,108399,114706,38,"113036,75","4295396,5",,
23.09.2020,15:19:00,109200,115273,108023,109081,23,"110394,25","2539067,75",,
23.09.2020,15:20:00,109541,115200,108057,113969,92,"111691,75",10275641,,
23.09.2020,15:22:00,109657,115271,108061,108061,81,"110262,5","8931262,5",,
23.09.2020,15:23:00,114015,115216,107914,112734,36,"112469,75",4048911,,
23.09.2020,15:24:00,108394,115127,108050,109937,31,110377,3421687,,
23.09.2020,15:25:00,110498,115139,107955,107963,53,"110388,75","5850603,75",,
23.09.2020,15:26:00,108499,115287,108120,109635,41,"110385,25","4525795,25",,
23.09.2020,15:27:00,109499,115151,107926,115149,76,"111931,25",8506775,,
23.09.2020,15:28:00,108108,115254,108074,111336,80,110693,8855440,,
23.09.2020,15:29:00,113403,115278,108092,108965,50,"111434,5",5571725,,
23.09.2020,15:30:00,114804,115116,107938,115116,60,"113243,5",6794610,,
23.09.2020,15:31:00,111251,115152,107985,114842,93,"112307,5","10444597,5",,
23.09.2020,15:32:00,108355,115280,107927,113393,53,"111238,75","5895653,75",,
23.09.2020,15:33:00,113294,114783,107967,113218,1,"112315,5","112315,5",,
23.09.2020,15:34:00,112382,115241,107940,107940,64,"110875,75",7096048,,
23.09.2020,15:35:00,113646,114902,107900,111274,34,"111930,5",3805637,,
23.09.2020,15:36:00,113735,115215,107953,115008,61,"112977,75","6891642,75",,
23.09.2020,15:37:00,114754,115230,108069,108855,71,111727,7932617,,
23.09.2020,15:38:00,113043,115281,108017,109891,16,111558,1784928,,
23.09.2020,15:39:00,109815,114989,107914,110176,6,"110723,5",664341,,
23.09.2020,15:40:00,111746,115149,107992,111066,9,"111488,25","1003394,25",,
23.09.2020,15:41:00,115163,115163,108184,110361,48,"112217,75",5386452,,
23.09.2020,15:42:00,113534,115194,107940,114856,58,112881,6547098,,
23.09.2020,15:43:00,113316,115244,108052,111858,60,"112117,5",6727050,,
23.09.2020,15:44:00,110244,115076,107908,113018,68,"111561,5",7586182,,
23.09.2020,15:45:00,109194,115297,108030,111189,28,"110927,5",3105970,,
23.09.2020,15:46:00,112612,115056,108150,113285,69,"112275,75","7747026,75",,
23.09.2020,15:47:00,114042,115235,107995,109219,72,"111622,75",8036838,,
23.09.2020,15:48:00,111098,114922,108107,108230,70,"110589,25","7741247,5",,
23.09.2020,15:50:00,109509,114822,108247,114320,70,"111724,5",7820715,,
23.09.2020,15:51:00,108061,115222,108013,108013,44,"109827,25",4832399,,
23.09.2020,15:52:00,114101,114854,107902,112920,31,"112444,25","3485771,75",,
23.09.2020,15:53:00,110120,115228,108025,109188,58,"110640,25","6417134,5",,
23.09.2020,15:54:00,112021,115239,108080,111986,53,"111831,5","5927069,5",,
23.09.2020,15:55:00,110197,115125,107942,113766,74,"111757,5",8270055,,
23.09.2020,15:56:00,109171,115190,107937,114593,44,"111722,75",4915801,,
23.09.2020,15:57:00,113965,115201,108072,109709,77,"111736,75","8603729,75",,
23.09.2020,15:58:00,114705,115263,107923,111679,35,"112392,5","3933737,5",,
23.09.2020,15:59:00,108043,115086,108043,114231,20,"111350,75",2227015,,
23.09.2020,16:00:00,109328,115083,107928,112187,18,"111131,5",2000367,,
23.09.2020,16:01:00,112740,115225,107908,110871,45,111686,5025870,,
23.09.2020,16:02:00,109025,115221,107903,109782,55,"110482,75","6076551,25",,
23.09.2020,16:03:00,113806,115085,108124,112184,72,"112299,75",8085582,,
23.09.2020,16:04:00,110377,115175,108044,110815,63,"111102,75","6999473,25",,
23.09.2020,16:05:00,112193,115254,108013,110113,47,"111393,25","5235482,75",,
23.09.2020,16:06:00,111840,115276,107917,110923,35,111489,3902115,,
23.09.2020,16:07:00,111062,115239,107925,113777,33,"112000,75","3696024,75",,
23.09.2020,16:08:00,115064,115214,108032,113985,13,"113073,75","1469958,75",,
23.09.2020,16:09:00,108903,115247,108193,110099,55,"110610,5","6083577,5",,
23.09.2020,16:10:00,113228,114932,108048,112607,28,"112203,75",3141705,,
23.09.2020,16:11:00,112322,115027,108152,109712,3,"111303,25","333909,75",,
23.09.2020,16:12:00,110169,115165,108033,108650,66,"110504,25","7293280,5",,
23.09.2020,16:13:00,111194,115132,108168,109447,14,"110985,25","1553793,5",,
23.09.2020,16:14:00,109774,115262,107956,111364,95,111089,10553455,,
